주상병코드,진료년도,가입자구분,성별,연령,진료실인원(명),진료건수(건),총진료비(천원)
F00-F09,2015년,직장,여자,65세 이상,235737,1346882,703734994
F00-F09,2016년,지역,남자,0-4세,59,62,3591
F00-F09,2016년,지역,남자,5-9세,25,42,2484
F00-F09,2016년,지역,남자,10-14세,68,125,25565
F00-F09,2016년,지역,남자,15-19세,121,520,55505
F00-F09,2016년,지역,남자,20-24세,181,682,151807
F00-F09,2016년,지역,남자,25-29세,180,785,117121
F00-F09,2016년,지역,남자,30-34세,250,989,366319
F00-F09,2016년,지역,남자,35-39세,363,1955,501697
F00-F09,2016년,지역,남자,40-44세,500,1827,689125
F00-F09,2016년,지역,남자,45-49세,856,3536,1464763
F00-F09,2016년,지역,남자,50-54세,1359,5041,2693461
F00-F09,2016년,지역,남자,55-59세,2471,9150,4759702
F00-F09,2016년,지역,남자,60-64세,3724,13778,6272482
F00-F09,2016년,지역,남자,65세 이상,46208,223108,97339309
F00-F09,2016년,지역,여자,0-4세,41,42,1763
F00-F09,2016년,지역,여자,5-9세,19,25,2013
F00-F09,2016년,지역,여자,10-14세,21,54,3550
F00-F09,2016년,지역,여자,15-19세,47,133,25966
F00-F09,2016년,지역,여자,20-24세,84,283,76460
F00-F09,2016년,지역,여자,25-29세,121,364,91890
F00-F09,2016년,지역,여자,30-34세,192,580,113639
F00-F09,2016년,지역,여자,35-39세,224,819,124613
F00-F09,2016년,지역,여자,40-44세,396,1038,211409
F00-F09,2016년,지역,여자,45-49세,930,2429,273558
F00-F09,2016년,지역,여자,50-54세,2010,5238,713010
F00-F09,2016년,지역,여자,55-59세,4297,11879,1749481
F00-F09,2016년,지역,여자,60-64세,6185,19393,3296763
F00-F09,2016년,지역,여자,65세 이상,122223,672320,381853800
F00-F09,2016년,직장,남자,0-4세,267,288,15997
F00-F09,2016년,직장,남자,5-9세,172,473,30659
F00-F09,2016년,직장,남자,10-14세,161,387,31444
F00-F09,2016년,직장,남자,15-19세,243,657,125017
F00-F09,2016년,직장,남자,20-24세,352,1296,283140
F00-F09,2016년,직장,남자,25-29세,406,1563,268144
F00-F09,2016년,직장,남자,30-34세,433,1323,276048
F00-F09,2016년,직장,남자,35-39세,535,1918,293889
F00-F09,2016년,직장,남자,40-44세,603,1965,284261
F00-F09,2016년,직장,남자,45-49세,1000,3411,677865
F00-F09,2016년,직장,남자,50-54세,1690,5538,1706384
F00-F09,2016년,직장,남자,55-59세,3914,13851,4775444
F00-F09,2016년,직장,남자,60-64세,6838,27409,9800231
F00-F09,2016년,직장,남자,65세 이상,114313,589350,235673799
F00-F09,2016년,직장,여자,0-4세,236,255,10194
F00-F09,2016년,직장,여자,5-9세,84,252,12549
F00-F09,2016년,직장,여자,10-14세,68,331,10744
F00-F09,2016년,직장,여자,15-19세,128,435,58199
F00-F09,2016년,직장,여자,20-24세,224,567,106798
F00-F09,2016년,직장,여자,25-29세,262,775,115019
F00-F09,2016년,직장,여자,30-34세,285,823,128624
F00-F09,2016년,직장,여자,35-39세,444,1131,165704
F00-F09,2016년,직장,여자,40-44세,657,1715,259195
F00-F09,2016년,직장,여자,45-49세,1424,3375,330730
F00-F09,2016년,직장,여자,50-54세,3369,8974,979272
F00-F09,2016년,직장,여자,55-59세,8128,23549,2648833
F00-F09,2016년,직장,여자,60-64세,12841,42113,5262192
F00-F09,2016년,직장,여자,65세 이상,266550,1519995,814682853
F00-F09,2017년,지역,남자,0-4세,30,32,8239
F00-F09,2017년,지역,남자,5-9세,44,81,4655
F00-F09,2017년,지역,남자,10-14세,53,114,33395
F00-F09,2017년,지역,남자,15-19세,88,483,76746
F00-F09,2017년,지역,남자,20-24세,182,718,128965
F00-F09,2017년,지역,남자,25-29세,196,978,149117
F00-F09,2017년,지역,남자,30-34세,221,885,380336
F00-F09,2017년,지역,남자,35-39세,355,1600,444602
F00-F09,2017년,지역,남자,40-44세,470,2119,871342
F00-F09,2017년,지역,남자,45-49세,806,3271,1412531
F00-F09,2017년,지역,남자,50-54세,1324,4831,2350712
F00-F09,2017년,지역,남자,55-59세,2627,9660,4692947
F00-F09,2017년,지역,남자,60-64세,4023,15212,7545310
F00-F09,2017년,지역,남자,65세 이상,51614,251950,108531748
F00-F09,2017년,지역,여자,0-4세,27,30,1713
F00-F09,2017년,지역,여자,5-9세,23,37,3070
F00-F09,2017년,지역,여자,10-14세,30,38,3316
F00-F09,2017년,지역,여자,15-19세,45,150,20360
F00-F09,2017년,지역,여자,20-24세,87,315,90203
F00-F09,2017년,지역,여자,25-29세,124,397,67853
F00-F09,2017년,지역,여자,30-34세,165,514,111672
F00-F09,2017년,지역,여자,35-39세,246,774,152463
F00-F09,2017년,지역,여자,40-44세,347,1125,146529
F00-F09,2017년,지역,여자,45-49세,813,2556,439748
F00-F09,2017년,지역,여자,50-54세,1973,5078,674831
F00-F09,2017년,지역,여자,55-59세,4651,12969,2102578
F00-F09,2017년,지역,여자,60-64세,6765,21043,3432512
F00-F09,2017년,지역,여자,65세 이상,137754,773930,437661060
F00-F09,2017년,직장,남자,0-4세,211,304,17874
