연도,지역코드,지역명,주민등록인구,추계중증정신질환자수,정신건강복지센터 등록  중증정신질환자수,추계중증정신질환자수 대비 정신건강복지센터 등록 중증정신질환자
2013,D22,서초구,441763,4418,246,5.6
2013,D23,강남구,563599,5636,603,10.7
2013,D24,송파구,668415,6684,514,7.7
2013,D25,강동구,483379,4834,421,8.7
2012,C01,서울시,8222822,82228,15019,18.3
2012,D01,종로구,137078,1371,367,26.8
2012,D02,중구,112379,1124,549,48.9
2012,D03,용산구,201378,2014,380,18.9
2012,D04,성동구,244943,2449,467,19.1
2012,D05,광진구,301747,3017,521,17.3
2012,D06,동대문구,299578,2996,560,18.7
2012,D07,중랑구,342662,3427,744,21.7
2012,D08,성북구,389093,3891,776,19.9
2012,D09,강북구,281524,2815,629,22.3
2012,D10,도봉구,290784,2908,726,25.0
2012,D11,노원구,462715,4627,1429,30.9
2012,D12,은평구,402211,4022,516,12.8
2012,D13,서대문구,257507,2575,615,23.9
2012,D14,마포구,312848,3128,397,12.7
2012,D15,양천구,381060,3811,442,11.6
2012,D16,강서구,454943,4549,660,14.5
2012,D17,구로구,344689,3447,707,20.5
2012,D18,금천구,199751,1998,322,16.1
2012,D19,영등포구,321257,3213,623,19.4
2012,D20,동작구,332634,3326,628,18.9
2012,D21,관악구,440154,4402,461,10.5
2012,D22,서초구,342473,3425,434,12.7
2012,D23,강남구,448003,4480,832,18.6
2012,D24,송파구,531939,5319,731,13.7
2012,D25,강동구,389472,3895,503,12.9
2011,C01,서울시,8209514,82095,14178,17.3
2011,D01,종로구,138670,1387,345,24.9
2011,D02,중구,111312,1113,504,45.3
2011,D03,용산구,203196,2032,171,8.4
2011,D04,성동구,244092,2441,451,18.5
2011,D05,광진구,300051,3001,491,16.4
2011,D06,동대문구,299507,2995,454,15.2
2011,D07,중랑구,342978,3430,743,21.7
2011,D08,성북구,389334,3893,775,19.9
2011,D09,강북구,281208,2812,571,20.3
2011,D10,도봉구,290803,2908,766,26.3
2011,D11,노원구,463956,4640,1344,29.0
2011,D12,은평구,393656,3937,440,11.2
2011,D13,서대문구,255486,2555,748,29.3
2011,D14,마포구,315196,3152,370,11.7
2011,D15,양천구,380815,3808,338,8.9
2011,D16,강서구,452496,4525,631,13.9
2011,D17,구로구,342547,3425,569,16.6
2011,D18,금천구,198126,1981,304,15.3
2011,D19,영등포구,323649,3236,628,19.4
2011,D20,동작구,327422,3274,522,15.9
2011,D21,관악구,439971,4400,557,12.7
2011,D22,서초구,340421,3404,436,12.8
2011,D23,강남구,446521,4465,750,16.8
2011,D24,송파구,535846,5358,752,14.0
2011,D25,강동구,392255,3923,518,13.2
2010,C01,서울시,8205035,82050,13710,16.7
2010,D01,종로구,139525,1395,288,20.6
2010,D02,중구,110409,1104,519,47.0
2010,D03,용산구,201178,2012,23,1.1
2010,D04,성동구,249032,2490,472,19.0
2010,D05,광진구,300554,3006,538,17.9
2010,D06,동대문구,298791,2988,314,10.5
2010,D07,중랑구,343088,3431,729,21.2
2010,D08,성북구,390260,3903,821,21.0
2010,D09,강북구,280659,2807,730,26.0
2010,D10,도봉구,290448,2904,914,31.5
2010,D11,노원구,465464,4655,1364,29.3
2010,D12,은평구,386749,3867,411,10.6
2010,D13,서대문구,261490,2615,765,29.3
2010,D14,마포구,315435,3154,336,10.7
2010,D15,양천구,377570,3776,280,7.4
